Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_MF_FAT,GO:0003700~transcription factor activity,44,25.58139535,1.01E-17,"CDX2, FOXA2, ONECUT1, SOX1, POU6F2, PPARG, IRX1, PAX6, HOXB13, PAX5, SOX7, PDX1, CBFA2T3, ZIC1, WT1, HIC1, GATA5, GATA4, LHX4, LHX6, TCF4, ETV6, RUNX2, TWIST2, RUNX3, FOXD3, PHOX2A, KLF6, FOXL2, L3MBTL4, EGR2, SOX11, NKX2-8, PROX1, TP73, ASCL1, IRF8, HOPX, TFAP2A, FOXC1, IRF4, CUX1, ZFHX3, KLF4",130,975,12983,4.506919132,2.55E-15,2.55E-15,1.31E-14
SP_PIR_KEYWORDS,developmental protein,37,21.51162791,1.35E-17,"CDX2, FOXA2, FHL1, PAX6, HOXB13, PAX5, PDX1, ZIC1, HIC1, SHISA3, NDRG4, UNC5D, LHX6, UNC5C, TWIST2, FOXD3, TMEFF1, BMP2, SOX11, NKX2-8, PROX1, SLIT2, NOTCH3, SFRP5, NTRK3, DKK3, EYA4, ASCL1, DACT1, SFRP1, SFRP2, EBF3, SFRP4, HOPX, CUX1, BIN1, WNT7A",159,779,19235,5.745916794,3.04E-15,3.04E-15,1.73E-14
GOTERM_MF_FAT,GO:0030528~transcription regulator activity,50,29.06976744,8.19E-15,"CDX2, FOXA2, POU6F2, PPARG, PAX6, PAX5, PDX1, ZIC1, CBFA2T3, GATA5, GATA4, TWIST2, PHOX2A, L3MBTL4, EGR2, SOX11, NKX2-8, TTF1, PROX1, ASCL1, TFAP2A, FOXC1, CUX1, CAMTA1, ONECUT1, SOX1, IRX1, HOXB13, SOX7, WT1, HIC1, AHRR, LHX4, LHX6, TCF4, ETV6, RUNX2, RUNX3, FOXD3, KLF6, FOXL2, BMP2, TP73, EBF3, IRF8, HOPX, ID4, IRF4, ZFHX3, KLF4",130,1512,12983,3.302553928,2.08E-12,1.04E-12,1.07E-11
GOTERM_BP_FAT,GO:0006357~regulation of transcription from RNA polymerase II promoter,34,19.76744186,3.28E-13,"CDX2, ONECUT1, FOXA2, PPARG, PAX6, PAX5, SOX7, PDX1, WT1, PLAGL1, GATA4, TCF4, RUNX2, TWIST2, FOXD3, DNMT3A, KLF6, FOXL2, BMP2, EGR2, SOX11, TTF1, PROX1, ASCL1, SALL4, IRF8, HOPX, TFAP2A, FOXC1, ID4, IRF4, CUX1, ZFHX3, KLF4",141,727,13528,4.487030154,4.89E-10,4.89E-10,5.45E-10
SP_PIR_KEYWORDS,dna-binding,48,27.90697674,1.21E-12,"ZNF292, CDX2, FOXA2, ONECUT1, SOX1, POU6F2, IRX1, PPARG, PAX6, HOXB13, PAX5, SOX7, PDX1, ZIC1, WT1, HIC1, PLAGL1, AHRR, GATA5, GATA4, LHX4, LHX6, TCF4, ETV6, RUNX2, TWIST2, RUNX3, FOXD3, PHOX2A, DNMT3A, KLF6, FOXL2, EGR2, SOX11, NKX2-8, TTF1, PROX1, TP73, ASCL1, SALL4, EBF3, IRF8, TFAP2A, FOXC1, IRF4, CUX1, ZFHX3, KLF4",159,1868,19235,3.10856127,2.71E-10,1.36E-10,1.54E-09
GOTERM_BP_FAT,GO:0051252~regulation of RNA metabolic process,52,30.23255814,4.29E-12,"CDX2, FOXA2, POU6F2, PPARG, PAX6, PAX5, PDX1, CBFA2T3, GATA5, GATA4, TWIST2, PHOX2A, L3MBTL4, EGR2, SOX11, NKX2-8, TTF1, PROX1, ASCL1, TFAP2A, RBM38, FOXC1, CUX1, SOX1, ONECUT1, IRX1, HOXB13, SOX7, WT1, HIC1, PLAGL1, AHRR, LHX4, LHX6, ETV6, TCF4, RUNX2, RUNX3, FOXD3, DNMT3A, KLF6, FOXL2, BMP2, TP73, SALL4, EBF3, IRF8, HOPX, ID4, IRF4, ZFHX3, KLF4",141,1813,13528,2.751819992,6.40E-09,3.20E-09,7.13E-09
SP_PIR_KEYWORDS,transcription regulation,49,28.48837209,5.66E-12,"ZNF292, CDX2, FOXA2, POU6F2, PPARG, PAX6, PAX5, PDX1, CBFA2T3, GATA5, GATA4, TWIST2, PHOX2A, EGR2, SOX11, TTF1, PROX1, ASCL1, EYA4, TFAP2A, FOXC1, CUX1, CAMTA1, SOX1, ONECUT1, HOXB13, SOX7, WT1, HIC1, PLAGL1, AHRR, LHX4, LHX6, TCF4, ETV6, RUNX2, RUNX3, FOXD3, KLF6, FOXL2, TP73, NOTCH3, SALL4, EBF3, IRF8, HOPX, IRF4, ZFHX3, KLF4",159,2026,19235,2.925847629,1.27E-09,4.25E-10,7.23E-09
GOTERM_BP_FAT,"GO:0006355~regulation of transcription, DNA-dependent",51,29.65116279,7.06E-12,"CDX2, FOXA2, POU6F2, PPARG, PAX6, PAX5, PDX1, CBFA2T3, GATA5, GATA4, TWIST2, PHOX2A, L3MBTL4, EGR2, SOX11, NKX2-8, TTF1, PROX1, ASCL1, TFAP2A, FOXC1, CUX1, ONECUT1, SOX1, IRX1, HOXB13, SOX7, WT1, HIC1, PLAGL1, AHRR, LHX4, LHX6, TCF4, ETV6, RUNX2, RUNX3, FOXD3, DNMT3A, KLF6, FOXL2, BMP2, TP73, SALL4, EBF3, IRF8, HOPX, ID4, IRF4, ZFHX3, KLF4",141,1773,13528,2.759789274,1.05E-08,3.51E-09,1.17E-08
SP_PIR_KEYWORDS,Transcription,49,28.48837209,1.24E-11,"ZNF292, CDX2, FOXA2, POU6F2, PPARG, PAX6, PAX5, PDX1, CBFA2T3, GATA5, GATA4, TWIST2, PHOX2A, EGR2, SOX11, TTF1, PROX1, ASCL1, EYA4, TFAP2A, FOXC1, CUX1, CAMTA1, SOX1, ONECUT1, HOXB13, SOX7, WT1, HIC1, PLAGL1, AHRR, LHX4, LHX6, TCF4, ETV6, RUNX2, RUNX3, FOXD3, KLF6, FOXL2, TP73, NOTCH3, SALL4, EBF3, IRF8, HOPX, IRF4, ZFHX3, KLF4",159,2071,19235,2.862272958,2.80E-09,6.99E-10,1.59E-08
GOTERM_BP_FAT,GO:0030182~neuron differentiation,25,14.53488372,1.88E-11,"FOXA2, OPCML, SOX1, PAX6, EPHB2, ALDH1A2, LHX4, CNTNAP2, LHX6, SEMA3B, UNC5C, RUNX3, GNAT1, PHOX2A, EGR2, NKX2-8, GAS1, TP73, SLIT2, NOTCH3, NTRK3, ASCL1, ID4, CUX1, WNT7A",141,438,13528,5.476213608,2.81E-08,7.02E-09,3.13E-08
